date,sleeptime_min,sleep_quality,weekday,sleep_change,quality_change
2024-07-01,473.0,92.0,Monday,,
2024-07-02,550.0,87.0,Tuesday,77.0,-5.0
2024-07-03,575.0,82.0,Wednesday,25.0,-5.0
2024-07-04,286.0,57.0,Thursday,-289.0,-25.0
2024-07-05,508.0,79.0,Friday,222.0,22.0
2024-07-06,322.0,71.0,Saturday,-186.0,-8.0
2024-07-07,520.0,83.0,Sunday,198.0,12.0
2024-07-08,492.0,85.0,Monday,-28.0,2.0
2024-07-09,645.0,69.0,Tuesday,153.0,-16.0
2024-07-10,460.0,88.0,Wednesday,-185.0,19.0
2024-07-11,575.0,76.0,Thursday,115.0,-12.0
2024-07-12,622.0,80.0,Friday,47.0,4.0
2024-07-13,443.0,82.0,Saturday,-179.0,2.0
2024-07-14,448.0,80.0,Sunday,5.0,-2.0
2024-07-15,452.0,99.0,Monday,4.0,19.0
2024-07-16,468.0,81.0,Tuesday,16.0,-18.0
2024-07-17,506.0,78.0,Wednesday,38.0,-3.0
2024-07-18,236.0,38.0,Thursday,-270.0,-40.0
2024-07-19,572.0,78.0,Friday,336.0,40.0
,,,,,
,,,,,
,,,,,
2024-07-20,501.0,87.0,Saturday,,
2024-07-21,563.0,72.0,Sunday,62.0,-15.0
2024-07-22,566.0,77.0,Monday,3.0,5.0
2024-07-23,475.0,79.0,Tuesday,-91.0,2.0
2024-07-24,554.0,74.0,Wednesday,79.0,-5.0
2024-07-25,562.0,97.0,Thursday,8.0,23.0
2024-07-26,515.0,85.0,Friday,-47.0,-12.0
2024-07-27,606.0,71.0,Saturday,91.0,-14.0
2024-07-28,594.0,73.0,Sunday,-12.0,2.0
2024-07-29,454.0,84.0,Monday,-140.0,11.0
2024-07-30,436.0,81.0,Tuesday,-18.0,-3.0
2024-07-31,398.0,82.0,Wednesday,-38.0,1.0
2024-08-01,441.0,78.0,Thursday,43.0,-4.0
,,,,,
2024-08-02,633.0,77.0,Friday,,
2024-08-03,383.0,77.0,Saturday,-250.0,0.0
2024-08-04,556.0,79.0,Sunday,173.0,2.0
2024-08-05,650.0,66.0,Monday,94.0,-13.0
2024-08-06,484.0,88.0,Tuesday,-166.0,22.0
2024-08-07,583.0,73.0,Wednesday,99.0,-15.0
2024-08-08,445.0,80.0,Thursday,-138.0,7.0
,,,,,
2024-08-09,612.0,78.0,Friday,,
2024-08-10,417.0,86.0,Saturday,-195.0,8.0
,,,,,
2024-08-11,510.0,88.0,Sunday,,
2024-08-12,443.0,97.0,Monday,-67.0,9.0
2024-08-13,388.0,90.0,Tuesday,-55.0,-7.0
2024-08-14,584.0,85.0,Wednesday,196.0,-5.0
2024-08-15,496.0,80.0,Thursday,-88.0,-5.0
2024-08-16,526.0,90.0,Friday,30.0,10.0
,,,,,
2024-08-17,482.0,85.0,Saturday,,
2024-08-18,267.0,60.0,Sunday,-215.0,-25.0
2024-08-19,554.0,91.0,Monday,287.0,31.0
,,,,,
2024-08-20,364.0,64.0,Tuesday,,
2024-08-21,651.0,76.0,Wednesday,287.0,12.0
2024-08-22,321.0,77.0,Thursday,-330.0,1.0
2024-08-23,689.0,66.0,Friday,368.0,-11.0
2024-08-24,650.0,66.0,Saturday,-39.0,0.0
,,,,,
2024-08-25,436.0,90.0,Sunday,,
2024-08-26,576.0,86.0,Monday,140.0,-4.0
2024-08-27,381.0,85.0,Tuesday,-195.0,-1.0
2024-08-28,607.0,78.0,Wednesday,226.0,-7.0
2024-08-29,727.0,82.0,Thursday,120.0,4.0
2024-08-30,527.0,90.0,Friday,-200.0,8.0
2024-08-31,453.0,94.0,Saturday,-74.0,4.0
2024-09-01,417.0,91.0,Sunday,-36.0,-3.0
2024-09-02,584.0,80.0,Monday,167.0,-11.0
2024-09-03,458.0,88.0,Tuesday,-126.0,8.0
2024-09-04,613.0,82.0,Wednesday,155.0,-6.0
2024-09-05,420.0,90.0,Thursday,-193.0,8.0
2024-09-06,522.0,86.0,Friday,102.0,-4.0
,,,,,
,,,,,
2024-09-07,529.0,88.0,Saturday,,
2024-09-08,462.0,79.0,Sunday,-67.0,-9.0
2024-09-09,604.0,83.0,Monday,142.0,4.0
2024-09-10,548.0,84.0,Tuesday,-56.0,1.0
2024-09-11,507.0,88.0,Wednesday,-41.0,4.0
2024-09-12,453.0,81.0,Thursday,-54.0,-7.0
2024-09-13,359.0,83.0,Friday,-94.0,2.0
2024-09-14,568.0,77.0,Saturday,209.0,-6.0
2024-09-15,461.0,95.0,Sunday,-107.0,18.0
2024-09-16,353.0,72.0,Monday,-108.0,-23.0
,,,,,
2024-09-17,532.0,84.0,Tuesday,,
2024-09-18,340.0,79.0,Wednesday,-192.0,-5.0
