date,sleeptime_min,sleep_quality
2024-07-01,473,92
2024-07-02,550,87
2024-07-03,575,82
2024-07-04,286,57
2024-07-05,508,79
2024-07-06,322,71
2024-07-07,520,83
2024-07-08,492,85
2024-07-09,645,69
2024-07-10,460,88
2024-07-11,575,76
2024-07-12,622,80
2024-07-13,443,82
2024-07-14,448,80
2024-07-15,452,99
2024-07-16,468,81
2024-07-17,506,78
2024-07-18,236,38
2024-07-19,572,78
,,
,,
,,
2024-07-20,501,87
2024-07-21,563,72
2024-07-22,566,77
2024-07-23,475,79
2024-07-24,554,74
2024-07-25,562,97
2024-07-26,515,85
2024-07-27,606,71
2024-07-28,594,73
2024-07-29,454,84
2024-07-30,436,81
2024-07-31,398,82
2024-08-01,441,78
,,
2024-08-02,633,77
2024-08-03,383,77
2024-08-04,556,79
2024-08-05,650,66
2024-08-06,484,88
2024-08-07,583,73
2024-08-08,445,80
,,
2024-08-09,612,78
2024-08-10,417,86
,,
2024-08-11,510,88
2024-08-12,443,97
2024-08-13,388,90
2024-08-14,584,85
2024-08-15,496,80
2024-08-16,526,90
,,
2024-08-17,482,85
2024-08-18,267,60
2024-08-19,554,91
,,
2024-08-20,364,64
2024-08-21,651,76
2024-08-22,321,77
2024-08-23,689,66
2024-08-24,650,66
,,
2024-08-25,436,90
2024-08-26,576,86
2024-08-27,381,85
2024-08-28,607,78
2024-08-29,727,82
2024-08-30,527,90
2024-08-31,453,94
2024-09-01,417,91
2024-09-02,584,80
2024-09-03,458,88
2024-09-04,613,82
2024-09-05,420,90
2024-09-06,522,86
,,
,,
2024-09-07,529,88
2024-09-08,462,79
2024-09-09,604,83
2024-09-10,548,84
2024-09-11,507,88
2024-09-12,453,81
2024-09-13,359,83
2024-09-14,568,77
2024-09-15,461,95
2024-09-16,353,72
,,
2024-09-17,532,84
2024-09-18,340,79
